iter	RMSE
398	634.0096102
399	633.9049969
400	633.8561718
401	633.7369284
402	632.590845
403	632.207335
404	631.3316999
405	630.8564498
406	630.6136636
407	629.3400929
408	628.9241269
409	628.8379202
410	628.7990653
411	628.7512479
412	628.7082782
413	627.9692214
414	626.7889415
415	625.885296
416	625.7108014
417	625.1728867
418	624.8695521
419	624.0718861
420	623.4467108
421	623.3494328
422	622.7542922
423	622.4815403
424	622.2845545
425	621.491723
426	620.8142104
427	619.4022996
428	619.1196913
429	618.5225441
430	618.1600917
431	617.8147779
432	617.1769044
433	617.0351249
434	616.6571467
435	616.2343345
436	616.1760199
437	615.9201336
438	615.4316221
439	615.1147942
440	614.8990214
441	614.7954773
442	614.68547
443	614.3287506
444	613.9635459
445	613.351363
446	612.5352745
447	612.4171975
448	611.4909828
449	611.3931375
450	610.8574341
451	610.8309046
452	610.6240347
453	609.9359051
454	609.5620472
455	609.3127531
456	609.2079369
457	609.1162949
458	608.9002838
459	608.6744217
460	608.4704382
461	608.4400969
462	608.30913
463	607.8048734
464	607.275551
465	606.687206
466	606.5771923
467	605.8371118
468	605.609691
469	605.1758024
470	605.111728
471	605.0084733
472	604.6671219
473	604.281201
474	604.0114477
475	603.5666496
476	603.0627304
477	602.1606571
478	601.9159183
479	601.732816
480	601.3389946
481	601.1353669
482	601.0155004
483	600.9279092
484	600.9067425
485	600.052679
486	599.6829443
487	599.492073
488	598.9166228
489	598.7898495
490	598.3778865
491	598.3209421
492	598.2874605
493	598.0931299
494	597.9314464
495	597.7965039
496	597.2787422
497	596.7930453
498	596.2169178
499	596.1977237
